"fixed_acidity","volatile_acidity","citric_acid","residual_sugar","chlorides","free_sulfur_dioxide","total_sulfur_dioxide","density","pH","sulphates","alcohol","quality","type"
6,0.32,0.32,4.8,0.041,40,186,0.99235,3.22,0.54,11,6,"white"
7.3,0.19,0.27,13.9,0.057,45,155,0.99807,2.94,0.41,8.8,8,"white"
8,0.59,0.05,2,0.089,12,32,0.99735,3.36,0.61,10,5,"red"
7.2,0.23,0.39,1.5,0.053,26,106,0.99166,3.18,0.47,11.1,6,"white"
6.2,0.355,0.35,2,0.046,31,95,0.98822,3.06,0.46,13.6,6,"white"
12,0.37,0.76,4.2,0.066,7,38,1.0004,3.22,0.6,13,7,"red"
6.3,0.33,0.42,17.2,0.037,57,170,0.99884,3.26,0.57,9.4,6,"white"
7.4,0.66,0,1.8,0.075,13,40,0.9978,3.51,0.56,9.4,5,"red"
8.2,0.38,0.49,13.6,0.042,58,166,0.99855,3.1,0.54,9.4,5,"white"
9.9,0.74,0.19,5.8,0.111,33,76,0.99878,3.14,0.55,9.4,5,"red"
6,0.26,0.34,1.3,0.046,6,29,0.9924,3.29,0.63,10.4,5,"white"
6.9,0.24,0.36,20.8,0.031,40,139,0.9975,3.2,0.33,11,6,"white"
7.1,0.2,0.41,2.1,0.054,24,166,0.9948,3.48,0.62,10.5,6,"white"
6.6,0.24,0.28,1.8,0.028,39,132,0.99182,3.34,0.46,11.4,5,"white"
7,0.17,0.42,1,0.075,19,71,0.99103,3.32,0.62,11.4,6,"white"
7.5,0.23,0.35,17.8,0.058,128,212,1.00241,3.44,0.43,8.9,5,"white"
8.1,0.22,0.28,7.7,0.043,57,176,0.9954,3.12,0.55,10,5,"white"
6.7,0.11,0.34,8.8,0.043,41,113,0.9962,3.42,0.4,9.3,7,"white"
5.6,0.32,0.33,7.4,0.037,25,95,0.99268,3.25,0.49,11.1,6,"white"
8.6,0.47,0.27,2.3,0.055,14,28,0.99516,3.18,0.8,11.2,5,"red"
6.9,0.36,0.35,8.6,0.038,37,125,0.9916,3,0.32,12.4,8,"white"
7.1,0.26,0.37,5.5,0.025,31,105,0.99082,3.06,0.33,12.6,8,"white"
6.6,0.3,0.25,8,0.036,21,124,0.99362,3.06,0.38,10.8,6,"white"
7.7,0.46,0.18,3.3,0.054,18,143,0.99392,3.12,0.51,10.8,6,"white"
11.4,0.6,0.49,2.7,0.085,10,41,0.9994,3.15,0.63,10.5,6,"red"
7.2,0.2,0.3,2,0.039,43,188,0.9911,3.3,0.41,12,6,"white"
7,0.12,0.19,4.9,0.055,27,127,0.9953,3.29,0.41,9.4,5,"white"
8.1,0.17,0.21,1.6,0.036,24,119,0.99396,3.18,0.52,10.1,6,"white"
8.4,0.25,0.39,2,0.041,4,10,0.99386,3.27,0.71,12.5,7,"red"
6.9,0.17,0.25,1.6,0.047,34,132,0.9914,3.16,0.48,11.4,5,"white"
6.2,0.23,0.36,17.2,0.039,37,130,0.99946,3.23,0.43,8.8,6,"white"
7.5,0.26,0.3,4.6,0.027,29,92,0.99085,3.15,0.38,12,7,"white"
7,0.745,0.12,1.8,0.114,15,64,0.99588,3.22,0.59,9.5,6,"red"
15.9,0.36,0.65,7.5,0.096,22,71,0.9976,2.98,0.84,14.9,5,"red"
7.7,0.34,0.28,11,0.04,31,117,0.99815,3.27,0.29,9.2,6,"white"
8.1,0.87,0,2.2,0.084,10,31,0.99656,3.25,0.5,9.8,5,"red"
7.1,0.6,0,1.8,0.074,16,34,0.9972,3.47,0.7,9.9,6,"red"
6.6,0.22,0.23,17.3,0.047,37,118,0.99906,3.08,0.46,8.8,6,"white"
6.8,0.37,0.51,11.8,0.044,62,163,0.9976,3.19,0.44,8.8,5,"white"
6,0.26,0.24,1.3,0.053,66,150,0.9924,3.21,0.62,10.4,6,"white"
7.6,0.17,0.46,0.9,0.036,63,147,0.99126,3.02,0.41,10.7,6,"white"
10.5,0.59,0.49,2.1,0.07,14,47,0.9991,3.3,0.56,9.6,4,"red"
10.7,0.4,0.37,1.9,0.081,17,29,0.99674,3.12,0.65,11.2,6,"red"
7,0.22,0.32,1.6,0.045,40,120,0.9914,2.98,0.44,10.5,6,"white"
6.9,0.29,0.4,19.45,0.043,36,156,0.9996,2.93,0.47,8.9,5,"white"
6,0.24,0.41,1.3,0.036,42,118,0.99018,3.04,0.64,11.7333333333333,6,"white"
6.6,0.16,0.29,1.8,0.05,40,147,0.9912,3.06,0.44,11.4,7,"white"
7.3,0.25,0.26,7.2,0.048,52,207,0.99587,3.12,0.37,9.2,5,"white"
6.5,0.26,0.39,1.4,0.02,12,66,0.99089,3.25,0.75,11.3,7,"white"
7.5,0.31,0.51,14.8,0.039,62,204,0.9982,3.06,0.6,9.5,5,"white"
6,0.33,0.26,5.1,0.051,16,119,0.99416,3.15,0.41,9.2,5,"white"
7.4,0.16,0.3,13.7,0.056,33,168,0.99825,2.9,0.44,8.7,7,"white"
6.2,0.23,0.23,1.2,0.018,18,128,0.99178,3.05,0.28,10.6,5,"white"
6.3,0.33,0.27,1.2,0.046,34,175,0.9934,3.37,0.54,9.4,6,"white"
8,0.64,0.22,2.4,0.094,5,33,0.99612,3.37,0.58,11,5,"red"
6,0.54,0.06,1.8,0.05,38,89,0.99236,3.3,0.5,10.55,6,"red"
6.4,0.25,0.53,6.6,0.038,59,234,0.9955,3.03,0.42,8.8,5,"white"
5.8,0.19,0.25,10.8,0.042,33,124,0.99646,3.22,0.41,9.2,6,"white"
6,0.59,0,0.8,0.037,30,95,0.99032,3.1,0.4,10.9,4,"white"
6.7,0.33,0.34,6.6,0.067,35,156,0.99542,3.11,0.48,9.3,6,"white"
8.5,0.15,0.49,1.5,0.031,17,122,0.9932,3.03,0.4,10.3,6,"white"
7.5,0.57,0.02,2.6,0.077,11,35,0.99557,3.36,0.62,10.8,6,"red"
8.4,0.665,0.61,2,0.112,13,95,0.997,3.16,0.54,9.1,5,"red"
11.3,0.36,0.66,2.4,0.123,3,8,0.99642,3.2,0.53,11.9,6,"red"
9.9,0.63,0.24,2.4,0.077,6,33,0.9974,3.09,0.57,9.4,5,"red"
5.8,0.36,0.38,0.9,0.037,3,75,0.9904,3.28,0.34,11.4,4,"white"
5.6,0.26,0.5,11.4,0.029,25,93,0.99428,3.23,0.49,10.5,6,"white"
6.8,0.39,0.35,11.6,0.044,57,220,0.99775,3.07,0.53,9.3,5,"white"
8.2,0.51,0.24,2,0.079,16,86,0.99764,3.34,0.64,9.5,6,"red"
7.8,0.32,0.33,10.4,0.031,47,194,0.99692,3.07,0.58,9.6,6,"white"
7,0.58,0.12,1.9,0.091,34,124,0.9956,3.44,0.48,10.5,5,"red"
7.8,0.445,0.56,1,0.04,8,84,0.9938,3.25,0.43,10.8,5,"white"
6.1,0.56,0,2.2,0.079,6,9,0.9948,3.59,0.54,11.5,6,"red"
6,0.28,0.27,15.5,0.036,31,134,0.99408,3.19,0.44,13,7,"white"
6.9,0.19,0.4,1.4,0.036,14,55,0.9909,3.08,0.68,11.5,7,"white"
6.9,0.3,0.45,1.4,0.039,36,122,0.99059,3.07,0.47,11.1,7,"white"
7.1,0.43,0.17,1.8,0.082,27,51,0.99634,3.49,0.64,10.4,5,"red"
7.6,0.54,0.23,2,0.029,13,151,0.9931,3.04,0.33,10.4,5,"white"
8.1,0.31,0.24,1.6,0.032,10,67,0.9924,3.08,0.47,10.5,5,"white"
9,0.4,0.41,2,0.058,15,40,0.99414,3.22,0.6,12.2,6,"red"
6.7,0.23,0.26,1.4,0.06,33,154,0.9934,3.24,0.56,9.5,6,"white"
6.7,0.22,0.37,1.6,0.028,24,102,0.9913,3.29,0.59,11.6,7,"white"
6.5,0.32,0.34,5.7,0.044,27,91,0.99184,3.28,0.6,12,7,"white"
8.2,0.38,0.32,2.5,0.08,24,71,0.99624,3.27,0.85,11,6,"red"
9.1,0.28,0.49,2,0.059,10,112,0.9958,3.15,0.46,10.1,5,"white"
7,0.29,0.49,3.8,0.047,37,136,0.9938,2.95,0.4,9.4,6,"white"
6.4,0.19,0.35,10.2,0.043,40,106,0.99632,3.16,0.5,9.7,6,"white"
7.3,0.28,0.42,1.2,0.033,29,142,0.99205,3.17,0.43,10.7,4,"white"
7.7,0.38,0.23,10.8,0.03,28,95,0.99164,2.93,0.41,13.6,6,"white"
6.8,0.18,0.3,12.8,0.062,19,171,0.99808,3,0.52,9,7,"white"
7.3,0.52,0.32,2.1,0.07,51,70,0.99418,3.34,0.82,12.9,6,"red"
6.4,0.33,0.28,4,0.04,24,81,0.9903,3.26,0.64,12.6,7,"white"
6.5,0.52,0.11,1.8,0.073,13,38,0.9955,3.34,0.52,9.3,5,"red"
6.2,0.36,0.22,5.25,0.038,44,145,0.99184,3.22,0.4,11.2,6,"white"
6.6,0.36,0.52,11.3,0.046,8,110,0.9966,3.07,0.46,9.4,5,"white"
7.4,0.35,0.33,2.4,0.068,9,26,0.9947,3.36,0.6,11.9,6,"red"
6.7,0.28,0.34,8.9,0.048,32,111,0.99455,3.25,0.54,11,7,"white"
6.6,0.23,0.37,8.5,0.036,46,153,0.99576,3.2,0.48,9.4,6,"white"
6.8,0.44,0.2,16,0.065,61,186,0.99884,3.13,0.45,8.6,5,"white"
7.5,0.18,0.31,6.5,0.029,53,160,0.99276,3.03,0.38,10.9,6,"white"
7.4,0.24,0.42,14,0.066,48,198,0.9979,2.89,0.42,8.9,6,"white"
7.2,0.36,0.36,5.7,0.038,26,98,0.9914,2.93,0.59,12.5,7,"white"
7.4,0.16,0.3,1.4,0.064,34,166,0.99136,3.11,0.42,11.4333333333333,6,"white"
6.5,0.25,0.2,1.4,0.024,29,101,0.9916,3.24,0.54,10.8,6,"white"
7.1,0.37,0.32,1.4,0.037,27,126,0.9918,3.19,0.62,12,5,"white"
7,0.28,0.39,8.7,0.051,32,141,0.9961,3.38,0.53,10.5,6,"white"
7.4,0.18,0.36,13.1,0.056,72,163,1,3.42,0.35,9.1,6,"white"
7.2,0.34,0.34,12.6,0.048,7,41,0.9942,3.19,0.4,11.7,5,"white"
6.5,0.23,0.36,16.3,0.038,43,133,0.99924,3.26,0.41,8.8,5,"white"
6.8,0.18,0.28,9.8,0.039,29,113,0.99406,3.11,0.45,10.9,7,"white"
8.8,0.3,0.38,2.3,0.06,19,72,0.99543,3.39,0.72,11.8,6,"red"
6.7,0.48,0.49,2.9,0.03,28,122,0.98926,3.13,0.4,13,6,"white"
6.6,0.56,0.16,3.1,0.045,28,92,0.994,3.12,0.35,9.1,6,"white"
6.3,0.3,0.19,7.7,0.049,47,184,0.99514,3.22,0.48,9.5,5,"white"
7.3,0.3,0.33,2.3,0.043,28,125,0.99084,3.34,0.44,12.6,7,"white"
7.2,0.55,0.09,1.5,0.108,16,151,0.9938,3.07,0.57,9.2,4,"white"
7.3,0.19,0.27,13.9,0.057,45,155,0.99807,2.94,0.41,8.8,8,"white"
7.1,0.27,0.28,1.25,0.023,3,89,0.98993,2.95,0.3,11.4,4,"white"
7.4,0.16,0.27,15.5,0.05,25,135,0.9984,2.9,0.43,8.7,7,"white"
6.9,0.25,0.24,3.6,0.057,13,85,0.9942,2.99,0.48,9.5,4,"white"
7.9,0.33,0.26,1.2,0.044,23,103,0.9932,3.19,0.54,10.5,6,"white"
7.6,0.4,0.27,1.2,0.053,23,193,0.99164,3.22,0.38,11.6,5,"white"
7.5,0.21,0.34,1.2,0.06,26,111,0.9931,3.51,0.47,10.7,6,"white"
8.3,0.2,0.74,4.45,0.044,33,130,0.9924,3.25,0.42,12.2,6,"white"
6.5,0.16,0.33,1,0.027,23,75,0.9908,3.3,0.39,11.4,7,"white"
6.3,0.39,0.08,1.7,0.066,3,20,0.9954,3.34,0.58,9.4,5,"red"
6.4,0.29,0.44,3.6,0.2,75,181,0.9942,3.02,0.41,9.1,5,"white"
7,0.57,0,2,0.19,12,45,0.99676,3.31,0.6,9.4,6,"red"
9,0.36,0.52,2.1,0.111,5,10,0.99568,3.31,0.62,11.3,6,"red"
6.1,0.27,0.43,7.5,0.049,65,243,0.9957,3.12,0.47,9,5,"white"
6.4,0.37,0.12,5.9,0.056,6,91,0.99536,3.06,0.46,8.4,4,"white"
5.1,0.47,0.02,1.3,0.034,18,44,0.9921,3.9,0.62,12.8,6,"red"
6.3,0.23,0.33,1.5,0.036,15,105,0.991,3.32,0.42,11.2,6,"white"
7.5,0.27,0.31,17.7,0.051,33,173,0.999,3.09,0.64,10.2,5,"white"
6.6,0.3,0.24,1.2,0.034,17,121,0.9933,3.13,0.36,9.2,5,"white"
7.1,0.18,0.39,15.25,0.047,45,158,0.99946,3.34,0.77,9.1,6,"white"
7.9,0.29,0.36,11.1,0.033,43,208,0.9969,3.14,0.46,10.3,5,"white"
5.6,0.28,0.4,6.1,0.034,36,118,0.99144,3.21,0.43,12.1,7,"white"
6.4,0.105,0.29,1.1,0.035,44,140,0.99142,3.17,0.55,10.7,7,"white"
7.9,0.21,0.4,1.2,0.039,38,107,0.992,3.21,0.54,10.8,6,"white"
6.4,0.29,0.3,6.5,0.209,62,156,0.99478,3.1,0.4,9.4,5,"white"
7.9,0.545,0.06,4,0.087,27,61,0.9965,3.36,0.67,10.7,6,"red"
6.5,0.48,0.02,0.9,0.043,32,99,0.99226,3.14,0.47,9.8,4,"white"
6.7,0.23,0.17,1.3,0.061,14,100,0.9925,3.07,0.55,9.5,5,"white"
6.4,0.14,0.31,1.2,0.034,53,138,0.99084,3.38,0.35,11.5,7,"white"
7.8,0.26,0.44,1.3,0.037,43,132,0.9944,3.18,0.65,10,5,"white"
6.6,0.38,0.36,9.2,0.061,42,214,0.9976,3.31,0.56,9.4,5,"white"
7.2,0.37,0.15,2,0.029,27,87,0.9903,3.3,0.59,12.6,7,"white"
8.6,0.34,0.36,1.4,0.045,11,119,0.99556,3.17,0.47,9.4,4,"white"
7.5,0.23,0.68,11,0.047,37,133,0.9978,2.99,0.38,8.8,5,"white"
5.9,0.23,0.28,8.6,0.046,37,142,0.99432,3.23,0.53,10.6,6,"white"
5.8,0.18,0.37,1.1,0.036,31,96,0.98942,3.16,0.48,12,6,"white"
6.6,0.39,0.38,9.7,0.053,49,226,0.99787,3.3,0.57,9.4,6,"white"
12.2,0.48,0.54,2.6,0.085,19,64,1,3.1,0.61,10.5,6,"red"
8.2,0.4,0.44,2.8,0.089,11,43,0.9975,3.53,0.61,10.5,6,"red"
7.5,0.25,0.47,4.1,0.041,95,163,0.99184,2.92,0.59,11.3,6,"white"
9.9,0.49,0.23,2.4,0.087,19,115,0.9948,2.77,0.44,9.4,6,"white"
7.1,0.18,0.74,15.6,0.044,44,176,0.9996,3.38,0.67,9,6,"white"
6.7,0.41,0.27,2.6,0.033,25,85,0.99086,3.05,0.34,11.7,6,"white"
9.2,0.31,0.36,2.2,0.079,11,31,0.99615,3.33,0.86,12,7,"red"
7.1,0.27,0.31,18.2,0.046,55,252,1,3.07,0.56,8.7,5,"white"
7.7,0.69,0.22,1.9,0.084,18,94,0.9961,3.31,0.48,9.5,5,"red"
11.2,0.28,0.56,1.9,0.075,17,60,0.998,3.16,0.58,9.8,6,"red"
7,0.12,0.29,10.3,0.039,41,98,0.99564,3.19,0.38,9.8,8,"white"
6.4,0.15,0.36,1.8,0.034,43,150,0.9922,3.42,0.69,11,8,"white"
15.6,0.685,0.76,3.7,0.1,6,43,1.0032,2.95,0.68,11.2,7,"red"
9.6,0.6,0.5,2.3,0.079,28,71,0.9997,3.5,0.57,9.7,5,"red"
7,0.15,0.28,14.7,0.051,29,149,0.99792,2.96,0.39,9,7,"white"
6.1,0.16,0.29,6,0.03,29,144,0.99474,3.68,0.46,10.7,6,"white"
4.7,0.785,0,3.4,0.036,23,134,0.98981,3.53,0.92,13.8,6,"white"
6,0.33,0.32,12.9,0.054,6,113,0.99572,3.3,0.56,11.5,4,"red"
6.5,0.43,0.28,11.25,0.032,31,87,0.9922,3.02,0.38,12.4,6,"white"
7.7,0.34,0.27,8.8,0.063,39,184,0.9969,3.09,0.63,9.2,6,"white"
8,0.45,0.36,8.8,0.026,50,151,0.9927,3.07,0.25,12.7,8,"white"
5.8,0.25,0.24,13.3,0.044,41,137,0.9972,3.34,0.42,9.5,5,"white"
6.4,0.31,0.31,12.9,0.045,55,161,0.99546,3.02,0.59,10.2,5,"white"
8.3,0.23,0.3,2.1,0.049,21,153,0.9953,3.09,0.5,9.6,6,"white"
7,0.2,0.37,2,0.03,26,136,0.9932,3.28,0.61,10.2,6,"white"
7.1,0.31,0.17,1,0.042,21,144,0.99304,3.13,0.4,9.6,5,"white"
7.5,0.3,0.32,1.4,0.032,31,161,0.99154,2.95,0.42,10.5,5,"white"
7.1,0.68,0,2.3,0.087,17,26,0.99783,3.45,0.53,9.5,5,"red"
7.2,0.62,0.01,2.3,0.065,8,46,0.99332,3.32,0.51,11.8,6,"red"
5.5,0.21,0.25,1.2,0.04,18,75,0.99006,3.31,0.56,11.3,6,"white"
9,0.82,0.05,2.4,0.081,26,96,0.99814,3.36,0.53,10,5,"red"
7.1,0.32,0.34,14.5,0.039,46,150,0.995,3.38,0.5,12.5,8,"white"
6.2,0.26,0.37,7.1,0.047,54,201,0.99523,3.19,0.48,9.5,6,"white"
7.4,0.31,0.48,14.2,0.042,62,204,0.9983,3.06,0.59,9.4,5,"white"
7.1,0.72,0,1.8,0.123,6,14,0.99627,3.45,0.58,9.8,5,"red"
6.5,0.26,0.32,16.5,0.045,44,166,1,3.38,0.46,9.5,6,"white"
5.9,0.15,0.31,5.8,0.041,53,155,0.9945,3.52,0.46,10.5,6,"white"
10.2,0.42,0.57,3.4,0.07,4,10,0.9971,3.04,0.63,9.6,5,"red"
7,0.34,0.39,6.9,0.066,43,162,0.99561,3.11,0.53,9.5,5,"white"
6.8,0.22,0.41,6.7,0.034,39,116,0.99245,3.18,0.46,11.5,6,"white"
6.8,0.31,0.3,8,0.028,33,122,0.99164,3.13,0.63,12.6,7,"white"
7.2,0.24,0.27,11.4,0.034,40,174,0.99773,3.2,0.44,9,5,"white"
7.7,0.39,0.12,1.7,0.097,19,27,0.99596,3.16,0.49,9.4,5,"red"
7.4,0.32,0.27,1.4,0.049,38,173,0.99335,3.03,0.52,9.3,5,"white"
7.4,0.49,0.24,15.1,0.03,34,153,0.9953,3.13,0.51,12,7,"white"
8.5,0.23,0.34,1.3,0.035,54,110,0.99176,3.07,0.55,11,7,"white"
6.1,0.125,0.25,3.3,0.04,10,69,0.9934,3.54,0.59,10.1,6,"white"
6.4,0.29,0.21,9.65,0.041,36,119,0.99334,2.99,0.34,10.9333333333333,6,"white"
7.7,0.915,0.12,2.2,0.143,7,23,0.9964,3.35,0.65,10.2,7,"red"
6.4,0.34,0.23,6.3,0.039,37,143,0.9944,3.19,0.65,10,6,"white"
6.8,0.36,0.32,1.6,0.039,10,124,0.9948,3.3,0.67,9.6,5,"white"
6.8,0.21,0.36,18.1,0.046,32,133,1,3.27,0.48,8.8,5,"white"
8.2,0.28,0.4,2.4,0.052,4,10,0.99356,3.33,0.7,12.8,7,"red"
7,0.21,0.34,8.5,0.033,31,253,0.9953,3.22,0.56,10.5,6,"white"
8.8,0.44,0.49,2.8,0.083,18,111,0.9982,3.3,0.6,9.5,5,"red"
4.9,0.335,0.14,1.3,0.036,69,168,0.99212,3.47,0.46,10.4666666666667,5,"white"
6.6,0.31,0.28,1.4,0.035,28,107,0.98836,3,0.4,13.2,6,"white"
6.1,0.28,0.25,12.9,0.054,34,189,0.9979,3.25,0.43,9,4,"white"
7.9,0.18,0.37,3,0.061,25,178,0.995,3.22,0.51,10,6,"white"
6.9,0.33,0.26,5,0.027,46,143,0.9924,3.25,0.43,11.2,7,"white"
6.9,0.23,0.38,8.3,0.047,47,162,0.9954,3.34,0.52,10.5,7,"white"
7.8,0.27,0.35,1.2,0.05,36,140,0.99138,3.09,0.45,11.2,5,"white"
10,0.48,0.24,2.7,0.102,13,32,1,3.28,0.56,10,6,"red"
5.5,0.14,0.27,4.6,0.029,22,104,0.9949,3.34,0.44,9,5,"white"
6.4,0.17,0.34,1.5,0.091,42,135,0.9938,3.25,0.49,9.6,7,"white"
7.5,0.24,0.31,13.1,0.05,26,180,0.99884,3.05,0.53,9.1,6,"white"
6.3,0.23,0.5,10.4,0.043,61,132,0.99542,2.86,0.46,9.1,6,"white"
10.1,0.31,0.44,2.3,0.08,22,46,0.9988,3.32,0.67,9.7,6,"red"
8.2,0.345,1,18.2,0.047,55,205,0.99965,2.96,0.43,9.6,5,"white"
6.6,0.38,0.18,1.2,0.042,20,84,0.9927,3.22,0.45,10.1,4,"white"
5.9,0.27,0.29,11.4,0.036,31,115,0.9949,3.35,0.48,10.5,8,"white"
6.4,0.14,0.31,1.2,0.034,53,138,0.99084,3.38,0.35,11.5,7,"white"
7.2,0.27,0.42,1.6,0.05,35,135,0.992,2.94,0.46,11,6,"white"
7.1,0.2,0.36,11.6,0.042,45,124,0.997,2.92,0.59,9.5,7,"white"
6.1,0.22,0.31,1.4,0.039,40,129,0.99193,3.45,0.59,10.9,5,"white"
6.3,0.29,0.28,4.7,0.059,28,81,0.99036,3.24,0.56,12.7,8,"white"
5.5,0.16,0.31,1.2,0.026,31,68,0.9898,3.33,0.44,11.65,6,"white"
6.9,0.19,0.31,19.25,0.043,38,167,0.99954,2.93,0.52,9.1,7,"white"
7.9,0.17,0.32,1.6,0.053,47,150,0.9948,3.29,0.76,9.6,6,"white"
11.9,0.38,0.49,2.7,0.098,12,42,1.0004,3.16,0.61,10.3,5,"red"
6.4,0.18,0.35,1,0.045,39,108,0.9911,3.31,0.35,10.9,6,"white"
7.8,0.32,0.31,1.7,0.036,46,195,0.993,3.03,0.48,10.5,5,"white"
6.6,0.3,0.25,8,0.036,21,124,0.99362,3.06,0.38,10.8,6,"white"
